time,uptime,CPU1,CPU2,CPU3,CPU4,GPU,used_ram,tot_ram
2024-06-03 15:27:16.625672,1:16:28.320000,23,22,21,21,85.2,2259516,4050824
2024-06-03 15:27:16.626047,1:16:28.320000,23,22,21,21,85.2,2259516,4050824
2024-06-03 15:27:17.626667,1:16:29.320000,56,39,31,19,19.7,2259356,4050824
2024-06-03 15:27:18.627962,1:16:30.320000,14,19,19,19,0.0,2261620,4050824
2024-06-03 15:27:19.629250,1:16:31.320000,11,11,13,14,0.0,2261436,4050824
2024-06-03 15:27:20.630501,1:16:32.320000,6,5,3,2,0.2,2261504,4050824
2024-06-03 15:27:21.631785,1:16:33.320000,6,2,4,0,0.0,2261256,4050824
2024-06-03 15:27:22.633070,1:16:34.330000,42,18,18,23,0.0,2275700,4050824
2024-06-03 15:27:23.634368,1:16:35.330000,59,24,22,13,0.0,2280780,4050824
2024-06-03 15:27:24.687367,1:16:36.330000,95,53,50,51,0.0,2281472,4050824
2024-06-03 15:27:25.688704,1:16:37.330000,74,37,31,28,0.0,2320296,4050824
2024-06-03 15:27:26.689348,1:16:38.330000,62,11,40,9,0.0,2330580,4050824
2024-06-03 15:27:27.690690,1:16:39.330000,77,7,26,5,0.0,2354064,4050824
2024-06-03 15:27:28.691954,1:16:40.330000,60,11,34,6,0.0,2374808,4050824
2024-06-03 15:27:29.693273,1:16:41.330000,54,26,19,51,0.0,2388788,4050824
2024-06-03 15:27:30.694604,1:16:42.330000,67,6,20,27,2.3,2391632,4050824
2024-06-03 15:27:31.695863,1:16:43.340000,43,8,29,37,0.0,2401224,4050824
2024-06-03 15:27:32.697152,1:16:44.340000,28,9,57,30,0.0,2387168,4050824
2024-06-03 15:27:33.698507,1:16:45.340000,22,22,90,19,51.9,2444656,4050824
2024-06-03 15:27:34.699930,1:16:46.340000,17,44,27,49,0.0,2482868,4050824
2024-06-03 15:27:35.701278,1:16:47.340000,33,47,13,55,0.0,2505036,4050824
2024-06-03 15:27:36.702691,1:16:48.340000,42,24,38,33,0.0,2555064,4050824
2024-06-03 15:27:37.704020,1:16:49.340000,29,22,41,24,17.7,2625604,4050824
2024-06-03 15:27:38.705401,1:16:50.340000,28,62,23,36,0.0,2673508,4050824
2024-06-03 15:27:39.706723,1:16:51.340000,31,50,35,22,22.5,2762836,4050824
2024-06-03 15:27:40.708014,1:16:52.340000,16,81,26,34,23.4,2875336,4050824
2024-06-03 15:27:41.708495,1:16:53.350000,44,31,43,27,0.0,2919692,4050824
2024-06-03 15:27:42.709900,1:16:54.350000,9,73,30,10,73.0,2923684,4050824
2024-06-03 15:27:43.788709,1:16:55.350000,71,72,43,32,10.5,3003412,4050824
2024-06-03 15:27:44.789370,1:16:56.350000,57,53,72,70,0.7,3049536,4050824
2024-06-03 15:27:45.790876,1:16:57.350000,29,31,83,33,0.0,3182428,4050824
2024-06-03 15:27:46.792343,1:16:58.350000,35,46,65,36,1.0,3296268,4050824
2024-06-03 15:27:47.793365,1:16:59.350000,52,55,35,46,0.0,3397488,4050824
2024-06-03 15:27:48.794812,1:17:00.350000,43,16,51,35,0.0,3496272,4050824
2024-06-03 15:27:49.866357,1:17:01.350000,82,38,64,55,11.5,3573628,4050824
2024-06-03 15:27:50.867854,1:17:02.350000,59,67,56,63,27.4,3707116,4050824
2024-06-03 15:27:51.869255,1:17:03.350000,28,57,61,52,0.0,3794384,4050824
