Index,CPU,GPU,RAM
0,0.0,0.0,10475565056
1,5.9,0.0,10481266688
2,6.5,0.0,10476515328
3,4.7,0.0,10449158144
4,4.8,0.0,10462875648
5,8.8,0.0,10479661056
6,16.2,0.0,10478182400
7,24.4,0.0,10745331712
8,25.1,0.0,10834149376
9,24.7,0.0,10913034240
10,20.6,0.0,10982141952
11,22.7,0.0,11216355328
12,24.1,0.0,11821547520
13,25.2,5.0,12731568128
14,26.9,5.0,13693792256
15,20.7,3.0,14380351488
16,11.6,1.0,14853427200
17,11.2,2.0,15102185472
18,7.8,5.0,15130497024
19,9.5,11.0,15140241408
20,11.4,28.0,15167426560
21,8.6,31.0,15167176704
22,11.4,27.0,15144079360
23,9.5,35.0,15014481920
24,12.3,28.0,15023665152
25,10.5,32.0,15021707264
26,8.9,28.0,15018455040
27,13.4,28.0,15019425792
28,18.5,31.0,15032004608
29,19.9,25.0,15045885952
30,14.7,33.0,15049400320
31,18.2,28.0,15040552960
32,17.4,30.0,15038681088
33,13.9,28.0,15038300160
34,17.3,29.0,15024758784
35,15.0,32.0,15024738304
36,18.9,28.0,14996226048
37,15.4,34.0,14998769664
38,16.2,28.0,14997450752
39,17.0,31.0,14985441280
40,15.5,28.0,14982852608
41,17.4,28.0,14981390336
42,15.0,33.0,14978695168
43,17.0,27.0,14979129344
44,14.5,28.0,14979956736
45,17.9,34.0,14959280128
46,16.6,28.0,14968553472
47,15.0,27.0,14970908672
48,6.1,32.0,14972985344
49,4.8,28.0,14983049216
50,13.5,30.0,14989164544
51,19.5,25.0,14990811136
52,17.0,34.0,14885920768
53,9.4,28.0,14881595392
54,12.2,28.0,14881648640
55,13.3,31.0,14885687296
56,6.6,28.0,14874169344
57,11.9,32.0,14873088000
58,18.4,0.0,10211659776
59,9.2,0.0,10194931712
60,6.5,0.0,10223726592
61,4.2,0.0,10202644480
62,4.4,0.0,10160070656
